Feature,Importance,Rank,Importance %
marital-status_ Married-civ-spouse,0.37506107674014827,1,37.51
capital-gain,0.20024240992961798,2,20.02
education-num,0.19185979082861762,3,19.19
capital-loss,0.0664650551427815,4,6.65
age,0.05495168827354796,5,5.5
hours-per-week,0.033154049888016596,6,3.32
occupation_ Exec-managerial,0.016015915681256463,7,1.6
occupation_ Prof-specialty,0.006685749301536279,8,0.67
occupation_ Other-service,0.006242260819170864,9,0.62
occupation_ Farming-fishing,0.005357542460650236,10,0.54
workclass_ Self-emp-not-inc,0.004903370179060707,11,0.49
relationship_ Wife,0.004147595022406848,12,0.41
relationship_ Husband,0.002587855897823113,13,0.26
sex_ Male,0.0019789783880428936,14,0.2
workclass_ Federal-gov,0.0016727304181734402,15,0.17
occupation_ Sales,0.001532634902984699,16,0.15
sex_ Female,0.0014384576571037833,17,0.14
workclass_ Local-gov,0.001375473520580683,18,0.14
education_level_ HS-grad,0.0013147346523352155,19,0.13
workclass_ Self-emp-inc,0.0011165391147419338,20,0.11
occupation_ Tech-support,0.0011069291306276222,21,0.11
occupation_ Handlers-cleaners,0.0010202841077369725,22,0.1
marital-status_ Never-married,0.0010164670898740453,23,0.1
marital-status_ Married-AF-spouse,0.0009716180777761955,24,0.1
education_level_ Masters,0.0009022139848608882,25,0.09
occupation_ Protective-serv,0.0008875188749950745,26,0.09
native-country_ Canada,0.0008696961335116824,27,0.09
education_level_ Prof-school,0.0007654807442661113,28,0.08
occupation_ Machine-op-inspct,0.0007420113335539428,29,0.07
workclass_ Private,0.000734238546097722,30,0.07
native-country_ United-States,0.0006151954124730197,31,0.06
education_level_ Bachelors,0.0005840160753736814,32,0.06
native-country_ South,0.0005260689144618125,33,0.05
race_ White,0.0004994193228856994,34,0.05
native-country_ Philippines,0.0004823504013708368,35,0.05
relationship_ Not-in-family,0.00044931066141308627,36,0.04
workclass_ State-gov,0.00041568319792814243,37,0.04
relationship_ Own-child,0.0003989762261332745,38,0.04
race_ Black,0.0003935914887798743,39,0.04
native-country_ Jamaica,0.0003824468931326285,40,0.04
marital-status_ Widowed,0.0003807718125708209,41,0.04
marital-status_ Married-spouse-absent,0.0003790757456292753,42,0.04
occupation_ Adm-clerical,0.0003714570076940558,43,0.04
race_ Asian-Pac-Islander,0.00035104007459669276,44,0.04
native-country_ Mexico,0.00031853412570319306,45,0.03
relationship_ Other-relative,0.00030174419204726763,46,0.03
relationship_ Unmarried,0.0002988181663152031,47,0.03
native-country_ Trinadad&Tobago,0.00027857590195616306,48,0.03
education_level_ Some-college,0.00026333122597210567,49,0.03
native-country_ Japan,0.00025240511490809425,50,0.03
native-country_ Cambodia,0.0002505651402241028,51,0.03
education_level_ 10th,0.00024653862208573766,52,0.02
education_level_ Assoc-acdm,0.000234087595123935,53,0.02
occupation_ Transport-moving,0.00023331437866620086,54,0.02
education_level_ Assoc-voc,0.00021832407472563192,55,0.02
marital-status_ Divorced,0.00021678234780433194,56,0.02
native-country_ Italy,0.00021666006762345117,57,0.02
education_level_ 7th-8th,0.0002048008263029712,58,0.02
native-country_ Poland,0.00018956880601566321,59,0.02
education_level_ Doctorate,0.00018781651183047575,60,0.02
native-country_ India,0.0001833699820887499,61,0.02
native-country_ China,0.00017826488499232384,62,0.02
native-country_ Yugoslavia,0.00017812498166830255,63,0.02
native-country_ Portugal,0.00016169386514499985,64,0.02
marital-status_ Separated,0.0001550876296956605,65,0.02
native-country_ Germany,0.00014394570216158526,66,0.01
native-country_ Ireland,0.00013936633158357479,67,0.01
education_level_ Preschool,0.00013831475804210473,68,0.01
race_ Amer-Indian-Eskimo,0.00013443535760689597,69,0.01
native-country_ Columbia,0.00012837189756987791,70,0.01
native-country_ England,0.00012680146117282352,71,0.01
native-country_ France,0.00010037920618062799,72,0.01
occupation_ Craft-repair,8.966399843441034e-05,73,0.01
native-country_ Haiti,8.839626313633682e-05,74,0.01
native-country_ Guatemala,8.659035760716882e-05,75,0.01
native-country_ Cuba,7.369151388725679e-05,76,0.01
native-country_ Puerto-Rico,7.21558760921493e-05,77,0.01
native-country_ Iran,5.3875448790747886e-05,78,0.01
native-country_ Hungary,5.1251321156583e-05,79,0.01
native-country_ Scotland,5.0888392052920034e-05,80,0.01
native-country_ Greece,4.774492564717136e-05,81,0.0
workclass_ Without-pay,4.666270232691312e-05,82,0.0
native-country_ Peru,4.639144700933126e-05,83,0.0
native-country_ Laos,4.3119889242610325e-05,84,0.0
native-country_ Vietnam,4.176750403084801e-05,85,0.0
native-country_ Hong,4.029459197478372e-05,86,0.0
native-country_ Dominican-Republic,3.7604492000424045e-05,87,0.0
education_level_ 5th-6th,3.2937605844346154e-05,88,0.0
education_level_ 11th,3.067586383694082e-05,89,0.0
native-country_ Nicaragua,2.098857578900031e-05,90,0.0
occupation_ Priv-house-serv,1.550599958765765e-05,91,0.0
occupation_ Armed-Forces,0.0,92,0.0
education_level_ 12th,0.0,93,0.0
education_level_ 9th,0.0,94,0.0
education_level_ 1st-4th,0.0,95,0.0
native-country_ El-Salvador,0.0,96,0.0
native-country_ Ecuador,0.0,97,0.0
race_ Other,0.0,98,0.0
native-country_ Honduras,0.0,99,0.0
native-country_ Holand-Netherlands,0.0,100,0.0
native-country_ Outlying-US(Guam-USVI-etc),0.0,101,0.0
native-country_ Thailand,0.0,102,0.0
native-country_ Taiwan,0.0,103,0.0
